https://www.africanhut.com/collections/confectionary
Nola Mayonnaise Sweet Creamy 780g,$5.89
Nola Mayonnaise Tangy Mayo 750g,$6.89
Pakco Curry Made Easy - Butter Chicken 400g,$7.29
Pakco Curry Made Easy - Chicken Korma 400g,$7.29
Pakco Curry Made Easy - Madras 400g,$7.29
Pakco Curry Made Easy - Malay Curry 400g,$7.29
Pakco Curry Made Easy - Mild Durban Curry 400g,$7.19
Pakco Curry Made Easy - Rogan Josh 400g,$7.29
Pakco Curry Paste 430g,$7.69
Pakco Hot Mango Achar 385g,$6.19
Pakco Pickles - Mango Atchar Mild 385g,$8.39
Pakco Pickles -Vegetable Atchar Mild 385g,$6.39
Pakco Pickles Chunky Mango 400g,$9.39
Pakco Pickles Curried Chilies 325g,$6.59
Pakco Pickles Vegetable Atchar Hot 385g,$8.69
Peppadew Peppers - Hot Piquante Peppers Whole 400g,$12.69
Peppadew peppers - Mild Piquante Peppers Whole 400g,$13.29
Safari Vinegar - Brown (Kosher) 2L,$5.79
Safari Vinegar - Brown (Kosher) 750ml,$2.49
Safari Vinegar - White Spirit (Kosher) 750ml,$2.69
Spillers Peri Peri Oil 250ml,$10.49
Spur BBQ Sauce Great Tasting (Kosher) 300g,$4.59
Spur Salad and French Fry Dressing (Kosher) 300ml,$5.79
Spur Sauces - Durky 500ml,$6.79
Steers Barbeque Sauce 375ml,$8.79
Steers Burger Relish Sauce 375ml,$9.39
Steers Hot Peri Peri Sauce 375ml,$7.49
Steers Italian Dressing 375ml,$9.49
Steers Marinade - Hot Spicy  700ml,$8.29
Steers Monkey Gland Sauce 375ml,$8.89
Steers Mustard (Squeeze Bottle) 375ml,$5.59
Steers Peri Peri Sauce 375ml,$9.49
Steers Prego 375ml,$5.99
Steers Rave Sauce 375ml,$8.79
Steers Sauce - Greek Salad Dressing 375ml,$8.79
Steers Spicy Tikka Sauce 375ml,$7.49
Steers Steakmaker Marinade 700ml,$8.59
Steers Sweet Chilli Sauce 375ml,$7.59
Steers Thousand Island Salad Dressing 375ml,$9.49
Wellingtons Chutney Hot Squeezy Bottle (Kosher) 450g,$4.19
Wellingtons Chutney Mild Squeezy Bottle (Kosher) 470g,$4.69
Wellingtons Peri Peri Medium 250ml,$7.49
Wellingtons Sauce - Hot Peri Peri (Kosher) 250ml,$7.49
Wellingtons Sauce - Worcester Sauce Bottle 250ml,$3.79
Wellingtons Sauce Hot Sweet Chilli 375ml,$5.09
Wellingtons Sauce Sweet Chilli (Kosher) 375ml,$5.69
Wellingtons Sweet and Sour (Squeeze) 375ml,$5.59
Wimpy Mustard (Squeeze Bottle) 500ml,$5.19
Wimpy Sauce - Tomato (Squeeze Bottle) 500ml,$4.59

--------------- end of section ---------------

https://www.africanhut.com/collections/dry-sauces-gravy-herbs-and-spices
Bisto Gravy Powder - Original Box (Kosher) 225g,$3.69
Bisto Gravy Powder - Original Refill Bag (Kosher) 400g,$5.99
Crown National Biltong Seasoning Safari (Kosher) 2kg,$39.99
Crown National Boerewors Seasoning - Traditional (Kosher) 1kg,$13.89
Crown National Boerewors Seasoning - Wapad 1kg,$24.59
